Component = x1 y1 x2 y2 #outagetime #residential #commerical #s/m-industrial #l-industrial repairCost utilityWorkerLevel faunaLevel susceptibility
G1 = 110 458 141 479 40 0 0 0 0 10000 1 0 1
G2 = 304 458 333 483 40 0 0 0 0 10000 1 0 1
G7 = 465 438 496 462 50 0 0 0 0 10000 1 0 1
G13 = 528 202 555 234 50 0 0 0 0 10000 1 2 1
G14 = 188 156 212 177 0 0 0 0 0 0 0 0 1
G15 = 39 165 69 186 40 0 0 0 0 10000 1 0 1
G16 = 16 93 42 116 40 0 0 0 0 10000 1 0 1
G18 = 100 0 132 22 150 0 0 0 0 10000 1 1 1
G21 = 258 6 285 27 150 0 0 0 0 10000 1 1 1
G22 = 392 7 420 27 20 0 0 0 0 10000 1 0 1
G23 = 498 46 524 72 40 0 0 0 0 10000 1 1 1
T1 = 193 420 219 440 16 0 0 0 0 15000 1 0 4
T2 = 53 365 90 388 10 0 0 0 0 10000 1 0 4
T3 = 143 380 169 395 10 0 0 0 0 10000 1 0 4
T4 = 221 365 251 383 10 0 0 0 0 10000 1 0 4
T5 = 347 402 375 419 10 0 0 0 0 10000 1 0 4
T6 = 109 313 136 328 10 0 0 0 0 10000 1 0 4
T7 = 75 292 102 309 768 0 0 0 0 10000 1 1 3
T8 = 178 330 202 344 10 0 0 0 0 10000 1 0 4
T9 = 273 325 300 344 10 0 0 0 0 10000 1 0 4
T10 = 362 323 399 339 35 0 0 0 0 15000 1 0 4
T11 = 464 397 495 417 10 0 0 0 0 10000 1 0 4
T12 = 438 382 473 397 10 0 0 0 0 10000 1 0 4
T13 = 455 353 489 373 10 0 0 0 0 10000 1 1 4
T14 = 153 272 191 291 768 0 0 0 0 10000 1 1 3
T15 = 268 265 301 280 768 0 0 0 0 10000 1 1 3
T16 = 226 274 257 290 768 0 0 0 0 10000 1 2 3
T17 = 329 272 365 287 768 0 0 0 0 10000 1 2 3
T18 = 226 213 260 230 11 0 0 0 0 10000 1 0 4
T19 = 164 213 197 231 11 0 0 0 0 10000 1 0 4
T20 = 368 227 406 242 11 0 0 0 0 10000 1 0 4
T21 = 369 176 404 192 11 0 0 0 0 10000 1 0 4
T22 = 505 136 538 153 11 0 0 0 0 10000 1 0 4
T23 = 130 172 168 189 11 0 0 0 0 10000 1 0 4
T24 = 37 143 75 164 11 0 0 0 0 10000 1 0 4
T25-1 = 151 108 195 125 11 0 0 0 0 10000 1 0 4
T25-2 = 209 121 257 139 11 0 0 0 0 10000 1 0 4
T26 = 38 221 76 240 11 0 0 0 0 10000 1 0 4
T27 = 40 64 72 78 11 0 0 0 0 10000 1 0 4
T28 = 115 93 153 110 11 0 0 0 0 10000 1 0 4
T29 = 42 26 77 47 11 0 0 0 0 10000 1 0 4
T30 = 115 70 151 86 11 0 0 0 0 10000 1 0 4
T31-1 = 164 19 207 37 11 0 0 0 0 10000 1 0 4
T31-2 = 163 42 212 57 11 0 0 0 0 10000 1 0 4
T32-1 = 323 79 367 97 11 0 0 0 0 10000 1 0 4
T32-2 = 323 105 368 123 11 0 0 0 0 10000 1 0 4
T33-1 = 427 56 471 70 11 0 0 0 0 10000 1 0 4
T33-2 = 427 79 469 96 11 0 0 0 0 10000 1 0 4
T34 = 318 26 351 40 11 0 0 0 0 10000 1 0 4
L1 = 135 455 160 480 0 129447 18794 1437 1 0 1 0 2
L2 = 331 457 352 482 0 109416 12623 1059 0 0 1 0 2
L3 = 36 290 67 311 0 457863 49333 4428 7 0 1 1 3
L4 = 144 344 174 374 0 368182 41515 3611 4 0 1 1 3
L5 = 259 366 283 389 0 82232 10280 970 0 0 1 0 3
L6 = 529 302 552 324 0 60932 5580 690 0 0 1 0 3
L7 = 490 434 511 460 0 214381 29324 2175 2 0 1 0 2
L8 = 518 364 544 385 0 78312 6680 650 5 0 1 0 3
L9 = 169 292 191 312 0 150192 11680 1245 25580 690 0 0 1 0 3
L10 = 327 290 352 308 0 99890 6259 825 2 0 1 0 3
L13 = 530 188 554 205 0 395478 36580 3493 11 0 1 1 2
L14 = 156 185 175 205 0 490664 51109 4500 8 0 1 1 2
L15 = 30 194 58 213 0 340587 48430 4193 36 0 1 1 2
L16 = 52 122 71 140 0 32000 4000 750 12 0 1 0 2
L18 = 89 -2 101 20 0 275792 43709 3672 40 0 1 0 2
L19 = 276 124 303 142 0 65440 9600 750 5 0 1 1 3
L20 = 393 126 424 144 0 573505 65813 5587 13 0 1 1 3
B1 = 94 443 168 460 10 0 0 0 0 5000 1 0 2
B2 = 294 446 359 462 10 0 0 0 0 1000 1 0 2
B3 = 35 312 100 328 10 0 0 0 0 1000 1 1 3
B4 = 171 329 185 381 10 0 0 0 0 1000 1 1 3
B5 = 277 364 296 410 10 0 0 0 0 1000 1 0 3
B6 = 513 293 532 348 10 0 0 0 0 1000 1 0 3
B7 = 453 425 524 441 10 0 0 0 0 1000 1 0 2
B8 = 503 358 524 401 10 0 0 0 0 1000 1 0 3
B9 = 164 311 240 324 10 0 0 0 0 690 0 1000 1 0 3
B10 = 283 307 353 326 10 0 0 0 0 1000 1 0 3
B11 = 174 250 252 271 10 0 0 0 0 1000 1 0 3
B12 = 285 254 355 269 10 0 0 0 0 1000 1 0 3
B13 = 513 173 536 245 10 0 0 0 0 1000 1 1 2
B14 = 175 151 193 205 10 0 0 0 0 1000 1 1 2
B15 = 25 179 129 196 10 0 0 0 0 1000 1 1 2
B16 = 39 110 112 125 10 0 0 0 0 1000 1 0 2
B17 = 22 24 44 74 10 0 0 0 0 1000 1 1 3
B18 = 79 16 157 35 10 0 0 0 0 1000 1 0 2
B19 = 263 110 320 124 10 0 0 0 0 1000 1 1 3
B20 = 379 109 437 127 10 0 0 0 0 1000 1 1 3
B21 = 244 23 304 40 10 0 0 0 0 1000 1 0 2
B22 = 377 24 437 39 10 0 0 0 0 1000 1 0 2
B23 = 482 45 501 104 10 0 0 0 0 1000 1 0 2
B24 = 39 247 120 269 10 0 0 0 0 1000 1 0 2
